0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,X,Y
10.0,9.999996746749698,8.296726841898376,7.24533652942043,6.5489257207957055,6.106347008795865,5.887666511696754,8.711858330084993,5.6689860145976425,7.685558641214842,5.236842738201041,6.901454523758662,4.5821736719892785,6.323216422706911,3.6501386542234027,5.935452416403217,2.2755849708741773,5.73896155435056,5.542470692297903,5.144271250390966,4.524291406926243,3.62083199475798,2.2658160843857034,4.5413919724759355e-06,1.0,1.5
10.0,8.711858330084993,7.685558641214841,6.9014545237586615,6.323216422706909,5.9354524164032165,5.73896155435056,9.999996746749698,5.542470692297903,8.296726841898376,5.144271250390967,7.245336529420432,4.524291406926246,6.548925720795704,3.6208319947579817,6.1063470087958605,2.2658160843857034,5.887666511696749,5.668986014597638,5.2368427382010365,4.582173671989276,3.6501386542234013,2.275584970874177,4.5413919724759355e-06,1.5,1.0
10.0,7.739679211124638,7.739677322765103,6.674761031684844,6.002011654319453,5.583923611000237,5.379339346382409,8.132628736265278,5.17475508176458,7.030168251371042,4.774506066612483,6.275546212861926,4.173112801915571,5.7399842872004205,3.321532649921192,5.385530986156271,2.069520536059021,5.2067068107230146,5.027882635289758,4.667039234600881,4.105916910360469,3.2875103615892427,2.0581797732817044,4.127692053956618e-06,1.0,2.5
10.0,7.709745784649598,6.8428324143449295,6.146543210738306,5.627430669025397,5.278919386954817,5.102443638958053,8.273323699656062,4.925967890961289,7.110226737659437,4.568576181044814,6.296996222038837,4.013941927948336,5.726181528380886,3.209071306608024,5.353688073937931,2.0063322651873574,5.167504061602141,4.981320049266352,4.609077454366149,4.039266198879204,3.221893365032531,2.010606284662193,4.016930515988518e-06,1.5,2.0
10.0,7.946467575920032,6.590512191952715,6.590510944011592,5.871763707081309,5.443892883777538,5.238181385687505,8.048998092556115,5.032469887597472,6.898103741860966,4.637494718541108,6.127714589935016,4.050330098600449,5.590912075710872,3.2227220284168054,5.239442199845053,2.0077519468797207,5.0630494862921855,4.886656772739318,4.532555794393668,3.9852288702501992,3.1898373714507753,1.9967903945577103,4.004534332368767e-06,1.0,3.5
10.0,7.989107520971838,6.651571647666557,6.018237276348772,5.519877106635362,5.179984684288146,5.007060915150603,8.077788094683061,4.83413714601306,6.9176133688002315,4.4823344918101045,6.130514909841752,3.93633339467374,5.580644577458948,3.1453657007440783,5.221370296705888,1.9655779556740451,5.04150858865508,4.861646880604272,4.5014743291541,3.9480109139828565,3.1512347130396856,1.9675342931059139,3.933104382571194e-06,1.5,3.0
10.0,8.008002579918305,6.777716966409993,5.871430405098954,5.871429549642911,5.405512761919124,5.189683901375885,8.039076597325316,4.973855040832644,6.870939018631024,4.5764563863834695,6.089374456644387,3.995072875877455,5.54721416630967,3.178985396906204,5.193739035236865,1.9810252043619185,5.016809235965433,4.839879436694002,4.485635370681079,3.940399340585895,3.151620359593216,1.9719035252575892,3.95292082377786e-06,1.0,4.5
10.0,8.031554661107235,6.822437230507939,5.931270493974585,5.481284311303099,5.15529989349515,4.986380919629678,8.051776274906073,4.817461945764206,6.883102071904455,4.467770468110267,6.096440402007531,3.9229560460548147,5.54920191328957,3.1338703097784446,5.192238235910057,1.9579239074151928,5.013622995806035,4.835007755702012,4.477510472665434,3.928137561319211,3.136357553743658,1.9587529887369306,3.916669062813998e-06,1.5,4.0
10.0,8.032629428825503,6.841137010623675,6.020800186091917,5.403139732302074,5.4031391859915106,5.166863092370475,8.041834331530039,4.93058699874944,6.868751718737283,4.531793187150581,6.081860898579615,3.9578897209806008,5.5360078331708085,3.1519536101884995,5.180479953279268,1.965622099425055,5.002685322298181,4.824890691317093,4.469240047284284,3.9228959253104034,3.1348532886423985,1.959921992243021,3.9255362405955956e-06,1.0,5.5
10.0,8.040269971289757,6.854702485241763,6.037511004817098,5.408584522536472,5.127790202523841,4.970863016768232,8.047049947026421,4.813935831012622,6.875042412451755,4.467021408002813,6.087293973753419,3.921746327869308,5.540106081517466,3.1320850769198043,5.183495679643059,1.956383835965851,5.005131805837541,4.826767932032024,4.4699228386843615,3.921796180555384,3.1318457836186457,1.956304071532131,3.9126800821378175e-06,1.5,5.0
