0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,X,Y
10.0,9.9999964332807,8.141652206511552,7.022193757042182,6.338171902998633,6.003366462309394,8.585711889953156,5.668561021620156,7.465514311134414,5.013361112906751,6.6328203609955025,4.009190444757962,6.06907470188737,2.500312305116828,5.779996386000766,5.490918070114163,4.898350465675883,3.950368734216393,2.4807050682696374,4.981007411371643e-06,1.0,1.5
10.0,8.585711889953162,7.465514311134424,6.632820360995518,6.0690747018873825,5.779996386000779,9.9999964332807,5.490918070114175,8.141652206511562,4.898350465675892,7.022193757042192,3.9503687342163993,6.338171902998644,2.480705068269642,6.0033664623094065,5.668561021620168,5.013361112906763,4.009190444757971,2.5003123051168323,4.981007411371652e-06,1.5,1.0
10.0,7.546812324328086,7.546810286715255,6.422791555160864,5.766099923290812,5.450884981121116,7.968504348125695,5.13567003895142,6.774275564235923,4.531501902142686,5.977905281942923,3.6175771508335726,5.458637594967238,2.2535474672019564,5.195669083460147,4.932700571953056,4.400094212900377,3.550369242299403,2.231144831023899,4.484683328859198e-06,1.0,2.5
10.0,7.511902120851289,6.579469688542803,5.849882972222088,5.350144802206096,5.093393385200226,8.128758511887627,4.836641968194357,6.874374970477039,4.309374470186871,6.019712635555463,3.4696704419001803,5.467514626474215,2.17539808272858,5.190818800607131,4.914122974740047,4.3595376803529575,3.495326204208017,2.183950003497859,4.3593393675477035e-06,1.5,2.0
10.0,7.780023639136603,6.326984270486547,6.326982966856514,5.627119570289244,5.303219929761478,7.8848355915409485,4.979320289233712,6.6414201276995835,4.38358512368992,5.82951236899742,3.496468015252719,5.308986553192032,2.1778432016838867,5.047761370781144,4.786536188370256,4.262161274532094,3.434857123698845,2.1573062378325947,4.3351407692349426e-06,1.0,3.5
10.0,7.8185666206418105,6.367506598013349,5.714255020648929,5.239261649000693,4.990974878204378,7.91953237093938,4.742688107408064,6.670403848906055,4.224534395871043,5.84451091191654,3.398641458951484,5.313571821379965,2.1290563307172965,5.047385520021162,4.78119921866236,4.247393103763724,3.4100320693259647,2.132853200842123,4.261901007757404e-06,1.5,3.0
10.0,7.851202281093849,6.536576006569949,5.601984985060215,5.60198417229184,5.250455480380555,7.87861029364189,4.89892678846927,6.618800044214067,4.305580395026614,5.796019820445428,3.435909735001709,5.2704040571373305,2.1422341704840315,5.007446189238898,4.744488321340465,4.2182726130548325,3.393092609376054,2.12796179527548,4.270187425384661e-06,1.0,4.5
10.0,7.865552636677485,6.556612231313896,5.600768945716827,5.190070686596411,4.958814486833409,7.8909990661088685,4.727558287070407,6.632951519608045,4.213231747138815,5.80773959217475,3.388019819628676,5.279434988665981,2.121235983237858,5.014980887808299,4.750526786950617,4.221014987028658,3.390974273942614,2.122220801342503,4.243448297683765e-06,1.5,4.0
10.0,7.878956373986928,6.6056642083351385,5.760064005088606,5.190017684968144,5.19001730493739,7.883828558279548,4.809986551680303,6.6202807612129995,4.239940231727197,5.79295124905323,3.394340028606984,5.264318495356679,2.121047863075368,5.000002118509647,4.735685741662615,4.207052987971036,3.379723475831161,2.11617567881676,4.237215067461993e-06,1.0,5.5
10.0,7.875257316122376,6.593626856275079,5.725055450873089,5.081627071302733,4.9095692084055855,7.885109572736122,4.737511345508437,6.6231836261163135,4.22133822818751,5.796795627932874,3.3904178258644815,5.2685360990813805,2.120937872297969,5.004319349121847,4.740102599162314,4.211495128175676,3.3837153614516646,2.118703717493696,4.239633110525444e-06,1.5,5.0
10.0,7.878956373999898,6.605664208361813,5.7600640051369485,5.19001768506272,4.809986931657965,7.883828558286458,4.809986551627212,6.620280761221494,4.2399402317080845,5.792951249061443,3.3943400286002925,5.264318495364255,2.121047863073582,5.000002118516813,4.7356857416693705,4.207052987976791,3.379723475835178,2.1161756788185433,4.23721506746199e-06,1.5,6.0
10.0,8.1287585121137,6.874374970739813,6.019712635810831,5.467514626715874,5.190818800840065,7.511902121266735,4.914122974964256,6.579469688896109,4.359537680555977,5.84988297252959,3.495326204373715,5.3501448024837845,2.18395000360279,5.0933933854630675,4.8366419684423505,4.309374470405288,3.469670442073754,2.1753980828361357,4.35933936776019e-06,2.0,1.5
10.0,7.968504348125688,6.7742755642359125,5.977905281942911,5.458637594967225,5.1956690834601345,7.5468123243280765,4.932700571953044,7.546810286715245,4.400094212900365,6.42279155516085,3.5503692422993933,5.766099923290799,2.2311448310238937,5.450884981121103,5.135670038951406,4.531501902142674,3.617577150833563,2.2535474672019498,4.484683328859186e-06,2.5,1.0
10.0,7.8684112739189995,6.887716739163101,6.077223501718226,5.52598121854311,5.246001661635878,7.76502041986744,4.966022104728648,6.577544177008423,4.397346160274841,5.807750730138098,3.5171182777152135,5.307438960148674,2.1929136858465665,5.053753316494382,4.800067672840091,4.2856368682123485,3.4593672827887545,2.1736633542044133,4.366568306914366e-06,2.0,2.5
