0,1,2,3,4,5,6,7,8,9,10,11,12,13,X,Y
6.153835579780775e-06,2.5641017488499216,2.6923034516828483,2.6923034516828475,1.6666652136771116,4.615378224861393,1.6666652136771116,4.102559105858524,4.230766962527033,2.692309605518428,5.897426022368565,2.820511308351354,7.307681676544241,5.769224319535636,0.0,0.5
2.5641017488499216,6.153835579780775e-06,1.6666652136771116,1.6666652136771116,2.6923034516828483,4.102559105858524,2.6923034516828475,4.615378224861393,2.692309605518428,4.230766962527033,2.820511308351354,5.897426022368565,5.769224319535636,7.307681676544241,0.5,0.0
3.7499967185938443,3.3333309721843465,2.4999969792105503e-06,2.4999969792491004,1.6666654861120511,3.749996718832385,1.6666654861120516,3.3333309722638598,4.999996458296398,3.7499992185908235,2.916665225814605,2.9166652256555774,6.249993698081485,4.999996458375911,0.0,1.5
4.230764536698538,2.9487165418516454,1.1538462721477298,1.1538462721477298,1.6666654700864871,3.4615357395249244,1.6666654700864862,3.717945338494303,4.615382011938133,5.384610808846268,2.051282945326081,3.589740539142352,4.615382011672654,5.384610808580789,0.5,1.0
3.749996718603321,3.3333309721493283,2.499996979020036,2.4999969792105503e-06,1.6666654861120502,3.749996719051972,1.6666654861120516,3.3333309722988784,4.9999964582613785,6.249993697623357,2.916665225770109,2.916665225471008,3.7499992190489513,4.99999645841093,0.5,2.0
2.9487165415993815,4.230764536194009,1.6666654700864862,1.6666654700864862,1.1538462722486358,3.7179453387465675,1.153846272248635,3.461535739827642,5.384610808442645,4.615382011685868,3.589740539091898,2.051282945578345,5.384610808833053,4.615382012076276,1.0,0.5
3.3333309721843465,3.7499967185938443,1.6666654861120511,1.6666654861120516,2.4999969792105503e-06,3.3333309722638598,2.4999969792491004,3.749996718832385,3.7499992185908235,4.999996458296398,2.9166652256555774,2.916665225814605,4.999996458375911,6.249993698081485,1.5,0.0
3.4615357400618514,3.7179453389417425,1.153846272326705,1.153846272326704,1.6666654700864862,4.2307645358036625,1.6666654700864871,2.948716541404207,5.384610809028229,4.615382012388556,3.5897405390528645,2.0512829457735178,5.3846108081303665,4.615382011490694,1.0,1.5
3.7179453389417425,3.4615357400618514,1.6666654700864862,1.6666654700864871,1.153846272326705,2.948716541404207,1.153846272326704,4.2307645358036625,4.615382012388556,5.384610809028229,2.0512829457735178,3.5897405390528645,4.615382011490694,5.3846108081303665,1.5,1.0
4.615378224861393,4.102559105858526,2.692303451682847,2.692303451682847,1.6666652136771116,6.153835581869996e-06,1.6666652136771116,2.5641017488499203,5.769224319535637,7.30768167654424,2.8205113083513558,5.8974260223685615,2.692309605518429,4.230766962527031,1.5,2.0
3.3333309721493283,3.749996718603321,1.6666654861120502,1.6666654861120516,2.499996979020036,3.3333309722988784,2.4999969792105503e-06,3.749996719051972,6.249993697623357,4.9999964582613785,2.916665225471008,2.916665225770109,4.99999645841093,3.7499992190489513,2.0,0.5
4.102559105858525,4.615378224861393,1.6666652136771116,1.6666652136771116,2.692303451682847,2.564101748849921,2.692303451682847,6.153835581869997e-06,7.30768167654424,5.7692243195356365,5.897426022368562,2.820511308351355,4.230766962527032,2.692309605518429,2.0,1.5
