N1X,N1Y,N2X,N2Y,voltage
0,0,3,0,4.623511986855812
0,0,0,3,5.099072230567394
0,1,3,1,2.450462174124974
1,0,1,3,3.084542499073751
0,2,3,2,2.7278723162357554
2,0,2,3,3.361952641184534
0,3,3,3,4.900922128749358
3,0,3,3,5.3764823724609405
