N1X,N1Y,N2X,N2Y,voltage
0,0,3,0,-1.7420020981262496e-10
0,0,0,3,1.963492479717388e-09
0,1,3,1,-3.048512553505134e-10
1,0,1,3,1.1285692380624823e-09
0,2,3,2,-7.403535562389152e-10
2,0,2,3,6.930687135309199e-10
0,3,3,3,-1.672329830171293e-09
3,0,3,3,4.6536285935872e-10
