resistor,X,Y,voltage
H00,0.5,0.0,2.7865720380661525
V00,0.0,0.5,-2.8435700009294465
H01,0.5,1.0,1.5326147273281725
H02,0.5,2.0,0.6618110984297623
V03,0.0,3.5,0.6618110984297623
V10,1.0,0.5,-1.6466106530547595
V13,1.0,3.5,1.114629666390874
V20,2.0,0.5,-0.7948063451107803
V23,2.0,3.5,3.242555741213237
H30,3.5,0.0,-0.7948063451107794
H31,3.5,1.0,-1.5326147273883595
H32,3.5,2.0,-2.387586298263835
