Loc_1,voltage_1,Loc_2,voltage_2,Loc_3,voltage_3,Loc_4,voltage_4,Loc_5,voltage_5,Loc_6,voltage_6,Loc_7,voltage_7,Loc_8,voltage_8,Loc_9,voltage_9,Loc_10,voltage_10,Loc_11,voltage_11,Loc_12,voltage_12
100.0,2.69230624260433,200.0,2.69230624260433,101.0,1.5384607100596162,102.0,0.7692303550298085,203.0,0.7692303550298085,210.0,1.5384607100596162,213.0,1.5384607100596188,220.0,0.7692303550298085,223.0,2.692306242604333,130.0,0.7692303550298085,131.0,1.5384607100596188,132.0,2.692306242604333
100.0,3.24255574074873,200.0,2.3875862980197318,101.0,1.1146296664749231,102.0,0.6618110984776191,203.0,0.66181109847762,210.0,1.532614727364657,213.0,1.5326147274355533,220.0,0.7948063451243526,223.0,2.786572038243515,130.0,0.7948063451243526,131.0,1.646610653132753,132.0,2.8435700010921146
100.0,2.838169890374079,200.0,2.652870757683649,101.0,1.8900539198636943,102.0,0.5064856792859302,203.0,0.5064856792859294,210.0,1.5194556544828357,213.0,1.519455654289549,220.0,0.7659044649752156,223.0,2.7393436858601707,130.0,0.7659044649752165,131.0,1.5441622054180266,132.0,2.7516969614244093
100.0,2.387586297912909,200.0,3.2425557405454555,101.0,1.532614727354285,102.0,0.7948063451302918,203.0,0.7948063451302918,210.0,1.114629666511707,213.0,1.6466106531668832,220.0,0.6618110984985623,223.0,2.8435700011632994,130.0,0.6618110984985623,131.0,1.532614727482544,132.0,2.786572038321129
100.0,2.741081582975444,200.0,2.899601664255636,101.0,1.1558785513962428,102.0,0.7265518519299325,203.0,0.7265518519299317,210.0,1.472918713956627,213.0,1.7503288563234851,220.0,0.7265518519299317,223.0,2.8996016647617164,130.0,0.7265518519299325,131.0,1.4332886937631013,132.0,2.7410815834815234
100.0,2.739343685813372,200.0,2.751696961390362,101.0,1.5194556542551343,102.0,0.5064856792744585,203.0,0.5064856792744576,210.0,1.5441622054091146,213.0,1.8900539199126296,220.0,0.7659044649750699,223.0,2.8381698904293,130.0,0.7659044649750708,131.0,1.5194556544911677,132.0,2.652870757718567
100.0,2.8996016646445266,200.0,2.741081583407332,101.0,1.4729187140091795,102.0,0.7265518519136878,203.0,0.7265518519136887,210.0,1.1558785515347916,213.0,1.4332886936455744,220.0,0.7265518519136887,223.0,2.741081583190095,130.0,0.7265518519136887,131.0,1.7503288561199613,132.0,2.8996016644272906
100.0,2.8996016643715725,200.0,2.7410815831415416,101.0,1.7503288560860542,102.0,0.7265518519109833,203.0,0.7265518519109824,210.0,1.4332886936259923,213.0,1.1558785515578744,220.0,0.7265518519109824,223.0,2.741081583479285,130.0,0.7265518519109824,131.0,1.4729187140179372,132.0,2.899601664709316
100.0,2.652870757515068,200.0,2.838169890107471,101.0,1.519455654442618,102.0,0.7659044649759164,203.0,0.7659044649759172,210.0,1.8900539196274264,213.0,1.544162205461049,220.0,0.5064856793413153,223.0,2.751696961588784,130.0,0.5064856793413162,131.0,1.519455654455709,132.0,2.7393436860861144
100.0,2.74108158301114,200.0,2.8996016642219318,101.0,1.4332886935734042,102.0,0.7265518519037135,203.0,0.7265518519037144,210.0,1.7503288559949874,213.0,1.4729187140414526,220.0,0.7265518519037135,223.0,2.8996016648833267,130.0,0.7265518519037144,131.0,1.1558785516198693,132.0,2.7410815836725355
100.0,2.7865720380661525,200.0,2.8435700009294465,101.0,1.5326147273281725,102.0,0.6618110984297623,203.0,0.6618110984297623,210.0,1.6466106530547595,213.0,1.114629666390874,220.0,0.7948063451107803,223.0,3.242555741213237,130.0,0.7948063451107794,131.0,1.5326147273883597,132.0,2.387586298263835
100.0,2.7516969614836784,200.0,2.73934368594164,101.0,1.5441622054335378,102.0,0.7659044649754687,203.0,0.7659044649754687,210.0,1.5194556543494633,213.0,1.5194556544683353,220.0,0.5064856793059018,223.0,2.652870757622863,130.0,0.5064856793059009,131.0,1.8900539197785,132.0,2.838169890277946
100.0,2.843570000875271,200.0,2.786572038007084,101.0,1.6466106530287856,102.0,0.7948063451062595,203.0,0.794806345106259,210.0,1.53261472729241,213.0,1.5326147273962525,220.0,0.6618110984138239,223.0,2.387586298345133,130.0,0.661811098413823,131.0,1.1146296663628803,132.0,3.242555741367939
