nodes,V12
N00-N01,2.8996016643715725
N00-N10,2.7410815831415416
N01-N02,1.7503288560860542
N01-N11,1.1492728082855157
N02-N03,0.7265518519109833
N02-N12,1.0237770041750736
N03-N13,0.7265518519109824
N10-N11,1.3077928895155466
N10-N20,1.4332886936259923
N11-N12,1.624833051975612
N11-N21,0.8322326458254556
N12-N13,0.4293266996468921
N12-N22,2.219283357085544e-06
N13-N23,1.1558785515578744
N20-N21,0.70673684171501
N20-N30,0.7265518519109824
N21-N22,0.7926026254335135
N21-N31,0.7463668621069548
N22-N23,1.5852030319214094
N22-N32,1.4266829506913785
N23-N33,2.741081583479285
N30-N31,0.7265518519109824
N31-N32,1.4729187140179372
N32-N33,2.899601664709316
