nodes,H12
N00-N01,2.739343685813372
N00-N10,2.751696961390362
N01-N02,1.5194556542551343
N01-N11,1.219888031558236
N02-N03,0.5064856792744585
N02-N12,1.0129699749806758
N03-N13,0.5064856792744576
N10-N11,1.2075347559812464
N10-N20,1.5441622054091146
N11-N12,1.312537597677574
N11-N21,1.114885189861913
N12-N13,1.3835682404206295e-06
N12-N22,0.9419393329642025
N13-N23,1.8900539199126296
N20-N21,0.7782577404340447
N20-N30,0.7659044649750699
N21-N22,1.1395917407798635
N21-N31,0.753551189516096
N22-N23,0.9481159705166675
N22-N32,1.1334151032274002
N23-N33,2.8381698904293
N30-N31,0.7659044649750708
N31-N32,1.5194556544911677
N32-N33,2.652870757718567
