resistor,X,Y,voltage
H00,0.5,0.0,3.24255574074873
V00,0.0,0.5,-2.3875862980197313
H01,0.5,1.0,1.1146296664749231
H02,0.5,2.0,0.6618110984776191
V03,0.0,3.5,0.66181109847762
V10,1.0,0.5,-1.532614727364657
V13,1.0,3.5,1.5326147274355533
V20,2.0,0.5,-0.7948063451243526
V23,2.0,3.5,2.786572038243515
H30,3.5,0.0,-0.7948063451243526
H31,3.5,1.0,-1.6466106531327527
H32,3.5,2.0,-2.8435700010921146
