nodes,H20
N00-N01,2.6528707575150676
N00-N10,2.838169890107471
N01-N02,1.519455654442618
N01-N11,1.1334151030724477
N02-N03,0.7659044649759164
N02-N12,0.7535511894667026
N03-N13,0.7659044649759172
N10-N11,0.9481159704800444
N10-N20,1.8900539196274266
N11-N12,1.139591740836873
N11-N21,0.9419393327156218
N12-N13,0.778257740485131
N12-N22,1.114885189818445
N13-N23,1.544162205461049
N20-N21,1.3835682395324511e-06
N20-N30,0.5064856793413153
N21-N22,1.3125375979396963
N21-N31,1.012969975114392
N22-N23,1.207534756127735
N22-N32,1.2198880316304046
N23-N33,2.751696961588784
N30-N31,0.5064856793413162
N31-N32,1.519455654455709
N32-N33,2.7393436860861144
