nodes,V22
N00-N01,2.843570000875271
N00-N10,2.786572038007084
N01-N02,1.6466106530287856
N01-N11,1.1969593478464837
N02-N03,0.7948063451062595
N02-N12,0.8518043079225261
N03-N13,0.794806345106259
N10-N11,1.2539573107146706
N10-N20,1.53261472729241
N11-N12,1.301455613104828
N11-N21,1.149461045456329
N12-N13,0.7378083822899923
N12-N22,1.415451538737364
N13-N23,1.5326147273962523
N20-N21,0.8708036288785896
N20-N30,0.6618110984138239
N21-N22,1.5674461063858631
N21-N31,0.4528185679490573
N22-N23,0.8549715709488805
N22-N32,2.1279260744577755e-06
N23-N33,2.387586298345133
N30-N31,0.661811098413823
N31-N32,1.1146296663628803
N32-N33,3.242555741367939
