resistor,X,Y,voltage
H00,0.5,0.0,2.843570000875271
V00,0.0,0.5,-2.786572038007084
H01,0.5,1.0,1.6466106530287856
H02,0.5,2.0,0.7948063451062595
V03,0.0,3.5,0.794806345106259
V10,1.0,0.5,-1.53261472729241
V13,1.0,3.5,1.5326147273962523
V20,2.0,0.5,-0.6618110984138239
V23,2.0,3.5,2.387586298345133
H30,3.5,0.0,-0.661811098413823
H31,3.5,1.0,-1.1146296663628803
H32,3.5,2.0,-3.242555741367939
