nodes,V02
N00-N01,2.838169890374079
N00-N10,2.652870757683649
N01-N02,1.8900539198636945
N01-N11,0.9481159705103828
N02-N03,0.5064856792859302
N02-N12,1.3835682404206295e-06
N03-N13,0.5064856792859294
N10-N11,1.1334151032008126
N10-N20,1.5194556544828357
N11-N12,0.9419393329215522
N11-N21,1.139591740789644
N12-N13,1.0129699750036192
N12-N22,1.3125375977225469
N13-N23,1.519455654289549
N20-N21,0.753551189507621
N20-N30,0.7659044649752156
N21-N22,1.114885189854455
N21-N31,0.778257740442811
N22-N23,1.2198880315706213
N22-N32,1.2075347560063827
N23-N33,2.7393436858601707
N30-N31,0.7659044649752165
N31-N32,1.5441622054180266
N32-N33,2.7516969614244093
