nodes,H21
N00-N01,2.74108158301114
N00-N10,2.8996016642219313
N01-N02,1.4332886935734042
N01-N11,1.3077928894377342
N02-N03,0.7265518519037135
N02-N12,0.7067368416696906
N03-N13,0.7265518519037144
N10-N11,1.149272808226943
N10-N20,1.7503288559949874
N11-N12,0.8322326458053606
N11-N21,1.6248330518593175
N12-N13,0.7463668621377373
N12-N22,0.7926026253373148
N13-N23,1.4729187140414526
N20-N21,1.023777004091273
N20-N30,0.7265518519037135
N21-N22,2.2192833579737226e-06
N21-N31,0.4293266997161549
N22-N23,1.426682950841875
N22-N32,1.5852030320526662
N23-N33,2.8996016648833267
N30-N31,0.7265518519037144
N31-N32,1.1558785516198693
N32-N33,2.7410815836725355
