nodes,H22
N00-N01,2.7865720380661525
N00-N10,2.8435700009294465
N01-N02,1.5326147273281725
N01-N11,1.2539573107379782
N02-N03,0.6618110984297623
N02-N12,0.8708036288984129
N03-N13,0.6618110984297623
N10-N11,1.1969593478746843
N10-N20,1.6466106530547595
N11-N12,1.1494610454886072
N11-N21,1.3014556131240562
N12-N13,0.45281856796111164
N12-N22,1.567446106425911
N13-N23,1.114629666390874
N20-N21,0.851804307943981
N20-N30,0.7948063451107803
N21-N22,1.415451538790462
N21-N31,0.7378083822775787
N22-N23,2.1279260744577755e-06
N22-N32,0.8549715708754762
N23-N33,3.242555741213237
N30-N31,0.7948063451107794
N31-N32,1.5326147273883595
N32-N33,2.387586298263835
