nodes,H11
N00-N01,2.7410815829754434
N00-N10,2.899601664255636
N01-N02,1.1558785513962428
N01-N11,1.5852030315791996
N02-N03,0.7265518519299325
N02-N12,0.4293266994663121
N03-N13,0.7265518519299317
N10-N11,1.426682950299007
N10-N20,1.472918713956627
N11-N12,2.2192833553091873e-06
N11-N21,0.7926026256843164
N12-N13,1.0237770043935521
N12-N22,1.6248330522788068
N13-N23,1.7503288563234851
N20-N21,0.7463668620266963
N20-N30,0.7265518519299317
N21-N22,0.8322326458778457
N21-N31,0.7067368418331679
N22-N23,1.1492728084382304
N22-N32,1.3077928897184234
N23-N33,2.8996016647617164
N30-N31,0.7265518519299325
N31-N32,1.4332886937631013
N32-N33,2.7410815834815234
