node,voltage
N00,10.0
N01,7.30769375739567
N02,5.769233047336054
N03,5.0000026923062455
N10,7.30769375739567
N11,6.153848224850959
N12,5.000002692306246
N13,4.230772337276437
N20,5.769233047336054
N21,5.000002692306246
N22,3.8461571597615327
N23,2.692311627216818
N30,5.0000026923062455
N31,4.230772337276437
N32,2.692311627216818
N33,5.384612485208666e-06
