node1,node2,voltage,letters
N00,N01,2.7410815829754434,AB
N01,N02,1.1558785513962428,BC
N02,N03,0.7265518519299325,CD
N03,N13,0.7265518519299317,DE
N13,N23,1.7503288563234851,EF
N23,N33,2.8996016647617164,FG
N32,N33,2.7410815834815234,HG
N31,N32,1.4332886937631013,IH
N30,N31,0.7265518519299325,JI
N20,N30,0.7265518519299317,KJ
N10,N20,1.472918713956627,LK
N00,N10,2.899601664255636,AL
