node1,node2,voltage,letters
N00,N01,2.8996016643715716,AB
N01,N02,1.750328856086055,BC
N02,N03,0.7265518519109833,CD
N03,N13,0.7265518519109819,DE
N13,N23,1.155878551557875,EF
N23,N33,2.741081583479285,FG
N33,N32,-2.899601664709316,GH
N32,N31,-1.4729187140179372,HI
N31,N30,-0.7265518519109824,IJ
N30,N20,-0.7265518519109824,JK
N20,N10,-1.4332886936259923,KL
N10,N00,-2.7410815831415416,LA
