node1,node2,voltage difference,brokenRV11,letters
N00,N01,2.69230624260433,2.8996016646445266,AB
N00,N10,2.69230624260433,2.7410815834073317,AL
N01,N02,1.5384607100596162,1.4729187140091797,BC
N02,N03,0.7692303550298085,0.7265518519136878,CD
N03,N13,0.7692303550298085,0.7265518519136887,DE
N10,N20,1.5384607100596162,1.1558785515347916,KL
N13,N23,1.5384607100596188,1.4332886936455744,EF
N20,N30,0.7692303550298085,0.7265518519136887,JK
N23,N33,2.692306242604333,2.741081583190095,FG
N30,N31,0.7692303550298085,0.7265518519136878,IJ
N31,N32,1.5384607100596188,1.7503288561199621,HI
N32,N33,2.692306242604333,2.8996016644272906,GH
